ASN,Entity
25260,"QualityHosting AG"
25369,"Hydra Communications Ltd"
25379,"PEKITEL Ltd."
25532,"LLC masterhost"
25642,"SPIDERHOST"
25653,"FORTRESSITX"
25780,"HUGESERVER-NETWORKS"
25820,"IT7NET"
25897,"UNKNOWN"
25926,"HOSTUS-SOLUTIONS-LLC"
26277,"PREMIANET"
26347,"DREAMHOST-AS"
26481,"REBEL-HOSTING"
26484,"IKGUL-26484"
26496,"AS-26496-GO-DADDY-COM-LLC"
26978,"QTS-PHX"
27175,"ATNETHOST-AS02"
27223,"LOATHING"
27229,"WEBHOST-ASN1"
27257,"WEBAIR-INTERNET"
27310,"UNKNOWN"
27357,"RACKSPACE"
27411,"LEASEWEB-USA-CHI-11"
27589,"MOJOHOST"
27597,"SITESERVER-IDC1"
27640,"GIGASNET-AS"
28099,"iHosting Servicios Internet Ltda."
28216,"Host One Servicos de Internet Ltda"
28333,"Local Datacenter Solucoes em Comunicacao Ltda."
28747,"Easyhost BVBA"
28753,"Leaseweb Deutschland GmbH"
28855,"Octopuce s.a.r.l."
28997,"Nedcomp Hosting B.V."
29066,"Host Europe GmbH"
29067,"LLC Hostmaster"
29073,"UNKNOWN"
29097,"Hostpoint AG"
29119,"ServiHosting Networks S.L."
29140,"Hostserver GmbH"
29182,"JSC The First"
29302,"Hosting Services Inc"
29311,"Solvinity B.V."
29331,"Forsikringens Datacenter A/S"
29354,"UNKNOWN"
29452,"Secura Hosting Ltd"
29465,"MTN NIGERIA Communication limited"
29550,"Simply Transit Ltd"
29691,"Nine Internet Solutions AG"
29713,"ELIA-60"
29748,"QTS-ASH"
29761,"AS-QUADRANET"
29802,"HVC-AS"
29838,"AMC"
29854,"WESTHOST"
29869,"DOTBLOCK-3"
29883,"AS-IHS"
30083,"AS-30083-GO-DADDY-COM-LLC"
30152,"BEYOND-HOSTING"
30176,"AS-PRIORITYCOLO"
30235,"TWINSERVERS"
30475,"WEHOSTWEBSITES-COM"
30633,"LEASEWEB-USA-WDC-01"
30693,"ASBLOCK-30693"
30849,"Research-and-production company Host Ltd"
30900,"Sternforth Ltd."
30998,"Netcom Africa Limited"
31034,"Aruba S.p.A."
31103,"Keyweb AG"
31240,"ZAO Hosting Telesystems"
31400,"Accelerated IT Services & Consulting GmbH"
31472,"VoiceHost Ltd"
31590,"Rackhosting.com ApS"
31659,"Below Zero Hosting Ltd."
31698,"UNKNOWN"
31863,"DACEN-2"
31898,"ORACLE-BMC-31898"
31981,"BLUETOWERHOSTING-ASN"
32087,"UNKNOWN"
32097,"WII"
32181,"ASN-GIGENET"
32244,"LIQUIDWEB"
32275,"UNKNOWN"
32306,"UNKNOWN"
32338,"HOSTISERVER"
32400,"HWSERVICES-32400"
32475,"SINGLEHOP-LLC"
32489,"AMANAHA-NEW"
32613,"IWEB-AS"
32647,"CRUCIALWEBHOST"
32740,"SLIQUA"
32780,"HOSTINGSERVICES-INC"
32875,"VIRP"
32881,"SERVERNORTH"
32911,"UNKNOWN"
32931,"PEAKTERA"
33028,"COGENT-174"
33070,"RMH-14"
33083,"AXCELX-NET"
33182,"DIMENOC"
33251,"UNKNOWN"
33260,"HOSTASAUR"
33302,"ONS-COS"
33322,"NDCHOST"
33330,"CLOUDRADIUM-ASN"
33387,"NOCIX"
33438,"HIGHWINDS2"
33480,"WEBWERKSAS1"
33552,"FLUIDHOSTING"
33569,"ALLHOSTSHOP"
33724,"BIZNESSHOSTING-DBA-VOLICO"
33785,"CITYNET"
33891,"UNKNOWN"
34305,"Base IP B.V."
34432,"Profihost AG"
34541,"Online Solutions Oy"
34649,"Host365 Limited"
34745,"TeleWare Hosted Services Ltd."
34971,"Prometeus di Daniela Agro"
34989,"ServeTheWorld AS"
35017,"Swiftway Sp. z o.o."
35278,"Sprinthost.ru LLC"
35295,"Jsc ru-center"
35366,"ISPpro Internet KG"
35415,"Webzilla B.V."
35470,"Signet B.V."
35662,"UNKNOWN"
35908,"VPLSNET"
35914,"ARMOR-DEFENSE"
35916,"MULTA-ASN1"
35974,"UNKNOWN"
36024,"AS-TIERP-36024"
36114,"VERSAWEB-ASN"
36236,"NETACTUATE"
36290,"THECABLE-STKITTS-01"
36351,"SOFTLAYER"
36352,"AS-COLOCROSSING"
